company_id,tse_industry_code,tej_industry,tej_sub_industry
6812,26,M23H 電子設備,M23H2 電機設備
6814,22,M17H 生物科技,M17H1 細胞醫療
6815,22,M17G 醫療耗材,M17G4 輔助與彌補
6816,30,M23X 資訊服務,M23X9 應用軟體
6817,22,M17C 藥,M17C1B 學名藥
6818,27,M23K 通信網路,M23K2 衛星微波
6819,24,M23D 電子零組件,M23D9D 其他零組件
6820,27,M23K 通信網路,M23K6 光元件模組
6821,28,M23D 電子零組件,M23D5 被動元件
6823,24,M23H 電子設備,M23H2 電機設備
6825,25,M23A 電腦及週邊,M23A5B 工業電腦
6826,31,M23H 電子設備,M23H1 廠辦機電
6827,22,M17C 藥,M17C1D 大分子新藥
6829,24,M23H 電子設備,M23H2 電機設備
6830,31,M23Z 其他電子,M23Z 其他電子
6831,25,M23D 電子零組件,M23D9B 散熱零組件
6832,20,M14Z 其他紡織,M14Z 其他紡織
6833,28,M23D 電子零組件,M23D2 連接器
6834,28,M23D 電子零組件,M23D5 被動元件
6835,28,M23B 印刷電路板,M23B2C 軟板
6838,22,M17C 藥,M17C1C 小分子新藥
6839,35,M23C 光電及I/O,M23C7E 太陽能系統
6840,31,M23Z 其他電子,M23Z 其他電子
6841,22,M17G 醫療耗材,M17G1 診斷與監測
6842,24,M23G 半導體,M23G5L 矽智財
6843,05,M15Z 其他電製品,M15Z 其他電製品
6844,22,M17X 醫藥通路,M17X2 醫藥零售
6846,02,M17C 藥,M17C2 機能性食品
6847,22,M17G 醫療耗材,M17G2 手術與治療
6848,22,M17G 醫療耗材,M17G3 體外診斷
6849,31,M23H 電子設備,M23H1 廠辦機電
6850,22,M17G 醫療耗材,M17G3 體外診斷
6854,24,M23C 光電及I/O,M23C6B 磊晶及晶粒
6855,31,M15A 機械,M15A1 工具機
6856,32,M99H 電視廣播,M99H 電視廣播
6857,22,M17G 醫療耗材,M17G1 診斷與監測
6858,25,M23C 光電及I/O,M23CZ2 其他顯示
6859,26,M23U 消費性電子,M23U1 光學鏡頭
6861,22,M17G 醫療耗材,M17G1 診斷與監測
6862,28,M23D 電子零組件,M23D5 被動元件
6863,27,M23K 通信網路,M23KX 其他網通
6864,22,M17C 藥,M17C1C 小分子新藥
6865,36,M23X 資訊服務,M23X1 系統整合
6867,26,M15D 汽車組件,M15D 汽車組件
6868,30,M23X 資訊服務,M23X1 系統整合
6869,35,M99D 公用事業,M99D4 電力及能源
6870,36,M23E 數位雲端,M23E2 數位服務
6872,22,M17G 醫療耗材,M17G2 手術與治療
6873,35,M23C 光電及I/O,M23C7E 太陽能系統
6874,30,M23X 資訊服務,M23X9 應用軟體
6875,22,M17C 藥,M17C1C 小分子新藥
6876,22,M17C 藥,M17C1C 小分子新藥
6877,31,M23H 電子設備,M23H2 電機設備
6878,17,M28R 電子支付,M28R 電子支付
6879,22,M17G 醫療耗材,M17G3 體外診斷
6881,20,M25C 工程承攬,M25C 工程承攬
6882,30,M23X 資訊服務,M23X9 應用軟體
6883,35,M23C 光電及I/O,M23C7E 太陽能系統
6884,30,M23T 電子通路,M23T1 3C通路
6885,22,M17C 藥,M17C1C 小分子新藥
6886,02,M17C 藥,M17C2 機能性食品
6887,35,M99L 資源回收,M99L2 廢棄物處理
6890,37,M99K 鞋及旅行箱,M99K 鞋及旅行箱
6891,22,M17H 生物科技,M17H1 細胞醫療
6892,22,M17H 生物科技,M17H1 細胞醫療
6894,35,M99L 資源回收,M99L2 廢棄物處理
6895,24,M23H 電子設備,M23H2 電機設備
6898,30,M99Z 其他,M99ZX 其他服務
6899,26,M23C 光電及I/O,M23C8E 觸控面板
6901,20,M31B 創投,M31B 創投
6902,36,M23X 資訊服務,M23X9 應用軟體
6903,31,M23H 電子設備,M23H1 廠辦機電
6904,20,M15A 機械,M15A1 工具機
6906,36,M23X 資訊服務,M23X9 應用軟體
6907,24,M23G 半導體,M23G5H 微控制器IC
6908,29,M23T 電子通路,M23TZ 其他3C代理
6909,24,M23H 電子設備,M23H2 電機設備
6910,36,M23X 資訊服務,M23X9 應用軟體
6911,20,M99L 資源回收,M99L2 廢棄物處理
6912,35,M99L 資源回收,M99L2 廢棄物處理
6913,28,M23D 電子零組件,M23D2 連接器
6914,20,M23X 資訊服務,M23X1 系統整合
6915,28,M23U 消費性電子,M23U1 光學鏡頭
6916,26,M23C 光電及I/O,M23C8D 其他LCD
6917,22,M17C 藥,M17C1C 小分子新藥
