資料年月,代號,名稱,市場,產業別,YoY%,MoM%,產業中位YoY%,相對強度
11508,2414,精技,TWSE,電子通路業,79.51753158995898,41.26387055707326,46.553405504062184,32.964126085896794
11508,8183,精星,TPEx,其他電子業,56.06520786408064,7.451034969925701,23.22306770081476,32.84214016326588
11508,2049,上銀,TWSE,電機機械,42.300945967107126,0.9836495943163266,9.955734548221304,32.345211418885825
11508,6569,醫揚,TPEx,生技醫療業,43.1978153413,146.10081312644388,10.87404800799546,32.32376733330454
11508,3338,泰碩,TWSE,電子零組件業,61.997363216875414,13.661468366139456,29.750508203062697,32.24685501381272
11508,5516,雙喜,TPEx,建材營造,42.46539762141426,50.92522528719818,10.642243208931497,31.823154412482765
11508,4736,泰博,TWSE,生技醫療業,42.68640953520201,5.46706353104862,10.87404800799546,31.812361527206548
11508,2345,智邦,TWSE,通信網路業,59.42279854814421,3.5464415513967307,27.642117309427462,31.780681238716745
11508,1742,台蠟,TPEx,化學工業,52.506194015627976,119.05283328770874,20.88575514293141,31.620438872696568
11508,9945,潤泰新,TWSE,其他,37.99192959753171,4.289556910092957,6.798290381685865,31.19363921584584
11508,3434,哲固,TPEx,光電業,41.94985495234148,118.9795021376913,10.869800594642088,31.080054357699396
11508,2609,陽明,TWSE,航運業,56.170783181394626,3.7214686547250384,25.441132804790072,30.729650376604553
11508,2108,南帝,TWSE,橡膠工業,41.8298987938219,1.7745435727632901,11.183860478864913,30.646038314956982
11508,2597,潤弘,TWSE,建材營造,40.9086362028445,18.615648736382795,10.642243208931497,30.266392993913
11508,2208,台船,TWSE,航運業,55.644028484352404,40.99954677594104,25.441132804790072,30.20289567956233
11508,8358,金居,TPEx,電子零組件業,59.709504167221084,4.719008887179223,29.750508203062697,29.958995964158387
11508,5222,全訊,TWSE,半導體業,59.944312768944016,5.617687281568151,29.99232947887792,29.951983290066096
11508,3017,奇鋐,TWSE,電腦及週邊設備業,54.340256925995845,4.792408367613132,25.200742370543818,29.139514555452028
11508,4510,高鋒,TPEx,電機機械,39.02554124497234,2.943848614359057,9.955734548221304,29.069806696751034
11508,8438,昶昕,TWSE,綠能環保,44.483904844254425,1.7419444549786998,15.414169395407162,29.06973544884726
11508,3054,立萬利,TWSE,電子通路業,75.61228823557171,5.335560021512072,46.553405504062184,29.058882731509527
11508,4906,正文,TWSE,通信網路業,56.09452372021568,6.5921601721881995,27.642117309427462,28.45240641078822
11508,8409,商之器,TPEx,生技醫療業,39.1702621971457,39.53147877013177,10.87404800799546,28.29621418915024
11508,3168,眾福科,TWSE,光電業,38.86429069970337,3.532023189065689,10.869800594642088,27.99449010506128
11508,1802,台玻,TWSE,玻璃陶瓷,32.59146823861491,0.2357161348229062,4.606249314500896,27.98521892411401
11508,3016,嘉晶,TWSE,半導體業,57.78643473495075,5.111418128109066,29.99232947887792,27.794105256072832
11508,1413,宏洲,TWSE,紡織纖維,27.66535454898265,6.144556098460404,-0.06602217024011142,27.73137671922276
11508,1220,台榮,TWSE,食品工業,28.831968382604725,29.29083574064727,1.3068797196628994,27.525088662941826
11508,2488,漢平,TWSE,其他電子業,50.050599201065246,4.564530967069734,23.22306770081476,26.827531500250487
11508,6829,千附精密,TPEx,半導體業,56.51918491470172,35.02496708319877,29.99232947887792,26.526855435823798
11508,3037,欣興,TWSE,電子零組件業,56.25723917867715,9.178757960449099,29.750508203062697,26.506730975614456
11508,8109,博大,TPEx,電子零組件業,56.11513756740975,7.399110556587411,29.750508203062697,26.36462936434705
11508,2357,華碩,TWSE,電腦及週邊設備業,51.16688342643828,12.866443188877227,25.200742370543818,25.966141055894465
11508,6538,倉和,TPEx,電子零組件業,55.6734663614373,6.813903797725943,29.750508203062697,25.922958158374602
11508,2949,欣新網,TPEx,數位雲端,38.44446381748805,16.06666316846824,12.606719452831793,25.837744364656256
11508,8489,三貝德,TPEx,其他,32.55905947878922,2.331205911991938,6.798290381685865,25.760769097103356
11508,7712,博盛半導體,TPEx,半導體業,55.49841915906531,1.772579427137531,29.99232947887792,25.506089680187387
11508,1323,永裕,TWSE,塑膠工業,34.077133777524274,12.869489969290516,8.722470848002123,25.35466292952215
11508,3594,磐儀,TPEx,電腦及週邊設備業,50.512183676505934,2.356063731251508,25.200742370543818,25.311441305962116
11508,6218,豪勉,TPEx,通信網路業,52.85091996619205,37.01796988829529,27.642117309427462,25.20880265676459
11508,6669,緯穎,TWSE,電腦及週邊設備業,50.35813251850269,22.62493783220418,25.200742370543818,25.157390147958875
11508,3332,幸康,TPEx,電子零組件業,54.71850386062934,11.972368864427722,29.750508203062697,24.967995657566643
11508,4430,耀億,TPEx,其他,31.70148679825686,0.011679798328815522,6.798290381685865,24.903196416570992
11508,3563,牧德,TWSE,光電業,35.677791635986594,0.4167836756483224,10.869800594642088,24.807991041344508
11508,2237,華德動能-創,TWSE,汽車工業,30.064676727490944,16.62574535250789,5.380600310175146,24.684076417315797
11508,6762,達亞,TPEx,生技醫療業,35.474214631388136,0.7332846950005565,10.87404800799546,24.600166623392674
11508,6173,信昌電,TPEx,電子零組件業,54.26510929473646,2.68920483524502,29.750508203062697,24.514601091673764
11508,5703,亞都麗緻,TPEx,觀光餐旅,28.094970775682725,38.47499375290044,3.621019870720613,24.473950904962113
11508,4545,銘鈺,TWSE,電子零組件業,54.178385560845975,35.61949380774045,29.750508203062697,24.427877357783277
11508,1475,業旺,TWSE,紡織纖維,24.282605152395472,1.783176425324089,-0.06602217024011142,24.348627322635583
11508,3029,零壹,TWSE,資訊服務業,44.443850807787626,7.57502757550259,20.16137918832383,24.282471619463795
11508,6510,精測,TPEx,半導體業,54.27157903895514,3.8569424964936885,29.99232947887792,24.27924956007722
11508,1256,鮮活果汁-KY,TWSE,食品工業,25.546216536255777,4.774330645851466,1.3068797196628994,24.23933681659288
11508,7772,耀穎,TPEx,半導體業,54.2007874015748,35.053963656425644,29.99232947887792,24.20845792269688
11508,8040,九暘,TPEx,半導體業,54.12023955501057,3.383122533884869,29.99232947887792,24.12791007613265
11508,2506,太設,TWSE,建材營造,34.73091364205256,3.6962779601026,10.642243208931497,24.088670433121067
11508,2607,榮運,TWSE,航運業,49.389906432141686,2.4091885883660615,25.441132804790072,23.948773627351613
11508,2374,佳能,TWSE,光電業,34.7021226390898,13.218945850766243,10.869800594642088,23.832322044447714
11508,1773,勝一,TWSE,化學工業,44.621686203410505,3.609811720552717,20.88575514293141,23.735931060479096
11508,4744,皇將,TPEx,生技醫療業,34.59208220724065,143.6020103743919,10.87404800799546,23.71803419924519
